Titel;Tekst vraagteken
Waterdiepte bij hevige bui;Deze statistieken laten zien welke waterdiepte ontstaat bij een hevige zomerbui. De grafieken tonen het percentage van een gebied per waterdiepteklasse. Gebouwen, oppervlaktewater en gebieden met minder dan 5 cm worden niet getoond met gekleurde balkjes. De statistieken gaan uit van een gelijke rioolbergings- en afvoercapaciteit en van de hoogtekaart van 2012. Dat betekent dat deze informatie niet bruikbaar is voor gebieden die na 2012 zijn ontwikkeld of aangepast. Wil je meer weten over de achtergrond van deze statistieken? Ga dan naar het kaartverhaal.
Gevoelstemperatuur;Deze percentages laten zien hoe hoog de gevoelstemperatuur in de buitenruimte wordt op een hete, vrijwel windstille zomerdag. Vooral buurten met weinig schaduw en veel verharding warmen sterk op. De lengte van de balkjes wordt bepaald door het aandeel buitenruimte: water en gebouwen worden niet gevuld. Wil je weten waarop deze percentages zijn gebaseerd? Ga dan naar het kaartverhaal.
Lage grondwaterstand;Deze statistieken laten de Gemiddelde Laagste Grondwaterstand (GLG) zien voor het huidige klimaat. De getallen tonen het gemiddelde aantal meters onder het maaiveld per buurt. De GLG is gemodelleerd met het Nationaal Water Model. De kaarten geven een grof beeld en zijn dus alleen bedoeld ter indicatie. Wil je meer informatie over deze statistieken? Ga dan naar het kaartverhaal.
Lage grondwaterstand | 2050 hoog;Deze statistieken laten zien hoe de Gemiddelde Laagste Grondwaterstand (GLG) tussen nu en 2050 verandert bij sterke klimaatverandering.  De GLG is gemodelleerd met het Nationaal Water Model. De kaarten geven een grof beeld en zijn dus alleen bedoeld ter indicatie. Wil je meer informatie over deze statistieken? Ga dan naar het kaartverhaal.
Extreem lage grondwaterstand ;Deze statistieken laten de laagste grondwaterstand (LG3) zien voor het huidige klimaat op basis van het extreem droge jaar 1976. De getallen tonen het gemiddelde aantal meters onder het maaiveld per buurt.  De LG3 is gemodelleerd met het Nationaal Water Model. De kaarten geven een grof beeld en zijn dus alleen bedoeld ter indicatie. Wil je meer informatie over deze statistieken? Ga dan naar het kaartverhaal.
Hoge grondwaterstand ;Deze statistieken laten de Gemiddelde Hoogste Grondwaterstand (GHG) zien voor het huidige klimaat. Dit is de maatgevend voor een natte situatie. De getallen tonen het gemiddelde aantal meters onder het maaiveld per buurt. De GHG is gemodelleerd met het Nationaal Water Model. De kaarten geven een grof beeld en zijn dus alleen bedoeld ter indicatie. Wil je meer informatie over deze statistieken? Ga dan naar het kaartverhaal.
Extreem hoge grondwaterstand ;Deze statistieken laten de maximale grondwaterstand (zogenaamde HG3) zien bij het huidige klimaat. Dit is de maximale grondwaterstand die over een periode van 100 jaar (1911-2011) gemodelleerd is.  Dit is de maatgevende grondwaterstand. De getallen tonen het aantal meters onder het maaiveld. De GHG is gemodelleerd met het Nationaal Water Model. De kaarten geven een grof beeld en zijn dus alleen bedoeld ter indicatie. Wil je meer informatie over deze statistieken? Ga dan naar het kaartverhaal.
Risico Paalrot huidig;Deze statistieken laten de risico’s op paalrot zien in het huidige klimaat. Het risico wordt berekend door het percentage panden met houten palen op een locatie te combineren met de gevoeligheid van die locatie voor paalrot. Wil je meer weten over de achtergrond van deze statistieken? Ga dan naar het kaartverhaal.
Risico Paalrot 2050 hoog;Deze statistieken laten zien wat in 2050 de risico’s op paalrot zijn als het klimaat sterk verandert. Door veranderingen in grondwaterstanden kan het risico op paalrot veranderen. Het risico wordt berekend door het percentage panden met houten palen op een locatie te combineren met de gevoeligheid van die locatie voor paalrot. Wil je meer weten over de achtergrond van deze statistieken? Ga dan naar het kaartverhaal.
Risico Verschilzetting 2050H;Deze statistieken laten de risico’s zien voor verschilzetting in 2050 bij sterke klimaatverandering. Het risico wordt berekend door het percentage panden op staal op een locatie te combineren met de gevoeligheid van die locatie voor verschilzetting. Wil je meer weten over de achtergrond van deze statistieken? Ga dan naar het kaartverhaal.
